"Reference","Value","Qty","DNP"
"C7,C121,C123,C124,C125,C126","1uF","6",""
"C19,C101","4.7uF","2",""
"C25","56nF","1",""
"C26","10uF","1",""
"C102,C103,C104,C105,C106,C108,C109,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C129,C130,C131","10nf","20",""
"C107,C128","33p","2",""
"C110","1000uF","1",""
"C122","100uF","1",""
"C127","100pf","1",""
"D1,D2,D3,D4,D5,D6,D7,D8,D21,D22,D104","1N4148","11",""
"D101","5v","1",""
"D102","1N4448","1",""
"D103","12v","1",""
"DZ101","BZX79-B2V4","1",""
"IC1","74HCT244","1",""
"IC15","8253","1",""
"IC16","Z84C00","1",""
"IC18","74HC139","1",""
"IC22","8251","1",""
"IC25,IC32","74HC138","2",""
"IC27","74HC32","1",""
"IC28","74HC00","1",""
"IC29","74HC04","1",""
"IC30","74HC02","1",""
"IC31","74HC273","1",""
"IC35","82C55A","1",""
"IC42","LM348N","1",""
"IC49","74HC367","1",""
"IC54","74HC123","1",""
"IC56","74HC161","1",""
"IC102","MAX232","1",""
"IC110","SST39SF010","1",""
"IC111","HM62256ALSP","1",""
"J3","Ext Clk","1",""
"J4","Expansion","1",""
"J7","Decoder","1",""
"J101","CS Test Points","1",""
"J102","Tx","1",""
"J103","Rx","1",""
"J104","SPEAKER (AUDIO)","1",""
"J105","TTL Serial","1",""
"J107","Power In","1",""
"J108","CASSETTE","1",""
"J109","RTS - DSR","1",""
"J110","PARALLEL OUTPUT PORT","1",""
"J111","Keyboard","1",""
"J112","Serial","1",""
"LED1","SST0","1",""
"LED2","SST1","1",""
"LED3","SST2","1",""
"LED4","Not Used","1",""
"LED101,LED103","Red","2",""
"LED102,LED104","Green","2",""
"Q1,Q102","BC548","2",""
"Q101","2N2222A-TO92","1",""
"R17,R104,R110,R112,R113,RN101","10K","6",""
"R18,R23,R25,R111","2K2","4",""
"R19,R21,R114","18K","3",""
"R20,R115","18","2",""
"R22,R105","1K","2",""
"R24","68K","1",""
"R28,R29,R30,R31","4k7","4",""
"R38","10","1",""
"R39","820","1",""
"R101","220","1",""
"R102","100K","1",""
"R103,R106,RN2","4K7","3",""
"R107","6K8","1",""
"R108,R109,R116,R117,R142,R143,R144,R145","90","8",""
"R118","560","1",""
"R119","360","1",""
"R120","1M","1",""
"SW101","Reset","1",""
"TP101,XTAL2","16Mhz","2",""
"TP102","TestPoint","1",""
"U101","74HC14","1",""
"U102","LM7805CT","1",""
"U103","LM7812CT","1",""
