Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C19",CP_Radial_D6.3mm_P2.50mm,2,4.7uF,
"C102, C103, C104, C105, C106, C108, C109, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C129, C130, C131",C_Disc_D3.4mm_W2.1mm_P2.50mm,20,10nf,
"C107, C128",C_Disc_D3.0mm_W2.0mm_P2.50mm,2,33p,
C110,CP_Radial_D14.0mm_P5.00mm,1,1000uF,
"C121, C123, C124, C125, C126, C7",CP_Radial_D6.3mm_P2.50mm,6,1uF,
C122,CP_Radial_D6.3mm_P2.50mm,1,100uF,
C127,C_Disc_D3.8mm_W2.6mm_P2.50mm,1,100pf,
C25,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,56nF,
C26,C_Radial_D6.3mm_H5.0mm_P2.50mm,1,10uF,
"D1, D2, D21, D22, D3, D4, D5, D6, D7, D8",D_A-405_P7.62mm_Horizontal,10,1N4148,
D101,LED_D5.0mm,1,5v,
D102,D_A-405_P7.62mm_Horizontal,1,1N4448,
D103,LED_D5.0mm,1,12v,
D104,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
DZ101,D_DO-35_SOD27_P7.62mm_Horizontal_Zener,1,BZX79-B2V4,
IC1,DIP-20_W7.62mm_LongPads,1,74HCT244,
IC102,DIP-16_W7.62mm_LongPads,1,MAX232,
IC110,DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J,1,SST39SF010,
IC111,DIP-28_W15.24mm_Socket_LongPads,1,HM62256ALSP,
IC15,DIP-24_W15.24mm_LongPads,1,8253,
IC16,DIP-40_W15.24mm_LongPads,1,Z84C00,
IC18,DIP-16_W7.62mm_Socket_LongPads,1,74HC139,
IC22,DIP-28_W15.24mm_LongPads,1,8251,
IC25,DIP-16_W7.62mm_LongPads,1,74HC138,
IC27,DIP-14_W7.62mm_LongPads,1,74HC32,
IC28,DIP-14_W7.62mm_LongPads,1,74HC00,
IC29,DIP-14_W7.62mm_Socket_LongPads,1,74HC04,
IC30,DIP-14_W7.62mm_LongPads,1,74HC02,
IC31,DIP-20_W7.62mm_Socket,1,74HC273,
IC32,DIP-16_W7.62mm_Socket_LongPads,1,74HC138,
IC35,DIP-40_W15.24mm_LongPads,1,82C55A,
IC42,DIP-14_W7.62mm_LongPads,1,LM348N,
IC49,DIP-16_W7.62mm_Socket_LongPads,1,74HC367,
IC54,DIP-16_W7.62mm_LongPads,1,74HC123,
IC56,DIP-16_W7.62mm_Socket_LongPads,1,74HC161,
J101,PinHeader_1x09_P2.54mm_Vertical,1,CS Test Points,
J102,PinHeader_1x02_P2.54mm_Vertical,1,Tx,
J103,PinHeader_1x02_P2.54mm_Vertical,1,Rx,
J104,PinSocket_1x03_P2.54mm_Vertical,1,SPEAKER (AUDIO),
J105,PinHeader_1x06_P2.54mm_Vertical,1,TTL Serial,
J107,PinHeader_1x03_P2.54mm_Vertical,1,Power In,
J108,DIN_5,1,CASSETTE,
J109,PinHeader_1x02_P2.54mm_Vertical,1,RTS - DSR,
J110,IDC-Header_2x17_P2.54mm_Latch_Horizontal,1,PARALLEL OUTPUT PORT,
J111,PinHeader_2x08_P2.54mm_Vertical,1,Keyboard,
J112,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,Serial,
