Designator,Mid X,Mid Y,Rotation,Layer
C101,156.21,-228.58,270.0,top
C102,98.024,-101.346,0.0,top
C103,125.5,-59.0,180.0,top
C104,212.25,-56.39,180.0,top
C105,98.25,-56.0,180.0,top
C106,183.82,-55.68,180.0,top
C107,80.244,-75.941,0.0,top
C108,48.733,-122.438,0.0,top
C109,48.733,-93.721,0.0,top
C110,172.72,-228.8023,270.0,top
C111,67.544,-83.561,0.0,top
C112,169.0,-97.5,90.0,top
C113,186.249,-93.395,0.0,top
C114,212.852,-82.296,0.0,top
C115,212.852,-110.236,0.0,top
C116,49.002,-153.924,0.0,top
C117,75.0,-148.5,0.0,top
C118,98.0,-151.5,0.0,top
C119,97.536,-183.388,0.0,top
C120,136.046,-168.732,180.0,top
C121,231.16,-93.575,0.0,top
C122,54.75,-61.0,0.0,top
C123,241.32,-93.575,0.0,top
C124,201.75,-89.5,0.0,top
C125,201.75,-99.0,0.0,top
C126,231.12,-103.735,0.0,top
C127,86.36,-206.99,270.0,top
C128,89.134,-75.941,0.0,top
C129,161.182,-153.924,0.0,top
C130,182.01,-152.4,0.0,top
C131,182.03,-183.515,0.0,top
C19,123.17,-215.9,0.0,top
C25,227.35,-156.21,0.0,top
C26,228.75,-146.5,0.0,top
C7,237.75,-146.812,0.0,top
D1,67.5,-199.11,0.0,top
D101,96.52,-217.17,0.0,top
D102,45.974,-69.596,180.0,top
D103,96.52,-227.33,0.0,top
D104,132.5,-113.0,90.0,top
D2,67.5,-203.75,0.0,top
D21,204.47,-159.385,0.0,top
D22,204.47,-154.94,180.0,top
D3,67.5,-208.0,0.0,top
D4,67.5,-212.25,0.0,top
D5,67.5,-216.5,0.0,top
D6,67.5,-220.75,0.0,top
D7,67.5,-225.0,0.0,top
D8,67.5,-229.25,0.0,top
DZ101,224.79,-160.02,0.0,top
IC1,49.022,-171.45,0.0,top
IC102,212.598,-96.13,0.0,top
IC110,153.38,-115.81,0.0,top
IC111,185.995,-114.985,0.0,top
IC15,75.02,-168.39,0.0,top
IC16,74.676,-118.11,0.0,top
IC18,184.01,-69.49,0.0,top
IC22,136.02,-191.51,0.0,top
IC25,98.806,-70.358,0.0,top
IC27,125.985,-71.628,0.0,top
IC28,212.509,-68.685,0.0,top
IC29,98.054,-114.041,0.0,top
IC30,48.753,-107.691,0.0,top
IC31,182.01,-201.93,0.0,top
IC32,97.8,-165.09,0.0,top
IC35,162.198,-183.642,0.0,top
IC42,182.01,-167.64,0.0,top
IC49,213.106,-124.055,0.0,top
IC54,97.521,-196.85,0.0,top
IC56,48.763,-136.398,0.0,top
J101,111.0,-165.96,0.0,top
J102,113.03,-196.85,90.0,top
J103,113.03,-204.47,90.0,top
J104,255.245,-186.69,180.0,top
J105,223.027,-96.115,0.0,top
J107,193.04,-224.79,180.0,top
J108,250.155,-168.79,270.0,top
J109,113.03,-189.23,90.0,top
J110,255.2465,-122.04,0.0,top
J111,47.23,-212.77,0.0,top
J112,252.9897,-69.0,90.0,top
J3,96.535,-90.399,90.0,top
J4,119.73,-116.19,180.0,top
J7,110.5,-71.04,0.0,top
LED1,159.12,-67.19,0.0,top
LED101,235.334,-123.19,0.0,top
LED102,235.204,-119.38,0.0,top
LED103,235.334,-115.57,0.0,top
LED104,235.334,-127.0,0.0,top
LED2,159.12,-71.0,0.0,top
LED3,159.12,-74.81,0.0,top
LED4,159.12,-78.62,0.0,top
Q1,237.49,-187.96,180.0,top
Q101,59.944,-83.561,180.0,top
Q102,237.49,-180.34,180.0,top
R101,109.22,-215.9,180.0,top
R102,47.244,-73.406,0.0,top
R103,47.244,-77.216,0.0,top
R104,47.244,-81.026,0.0,top
R105,47.244,-84.836,0.0,top
R106,47.244,-88.646,0.0,top
R107,86.36,-198.12,270.0,top
R108,227.434,-115.57,180.0,top
R109,227.434,-119.38,180.0,top
R110,223.52,-163.83,0.0,top
R111,203.2,-190.5,0.0,top
R112,203.2,-182.88,0.0,top
R113,203.2,-186.69,0.0,top
R114,203.2,-194.31,180.0,top
R115,223.52,-186.69,0.0,top
R116,227.564,-123.19,180.0,top
R117,227.564,-127.0,180.0,top
R118,109.22,-226.06,180.0,top
R119,89.408,-101.6,270.0,top
R120,75.184,-81.021,90.0,top
R142,151.5,-67.19,0.0,top
R143,151.5,-71.0,0.0,top
R144,151.5,-74.81,0.0,top
R145,151.5,-78.62,0.0,top
R17,223.52,-167.64,0.0,top
R18,223.52,-171.45,0.0,top
R19,223.52,-175.26,0.0,top
R20,223.52,-179.07,0.0,top
R21,203.2,-171.45,0.0,top
R22,203.2,-175.26,0.0,top
R23,203.2,-179.07,0.0,top
R24,223.52,-190.5,0.0,top
R25,223.52,-194.31,0.0,top
R28,237.62,-62.5,270.0,top
R29,233.81,-62.5,270.0,top
R30,230.0,-62.5,270.0,top
R31,226.19,-62.5,270.0,top
R38,203.2,-163.83,0.0,top
R39,203.2,-167.894,180.0,top
RN101,89.0,-135.5,270.0,top
RN2,60.0,-172.212,270.0,top
SW101,65.024,-69.596,0.0,top
TP101,86.868,-90.424,0.0,top
U101,98.044,-138.176,0.0,top
U102,127.0,-226.06,270.0,top
U103,142.565,-226.06,270.0,top
XTAL2,84.404,-81.721,0.0,top
