Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_2x08_P2.54mm_Vertical,1,Keyboard,
SW1,SW_Cherry_MX_PCB_1.00u,1,Q,
SW10,SW_Cherry_MX_PCB_1.00u,1,F1,
SW12,SW_Cherry_MX_PCB_1.25u,1,<CTRL>,
SW13,Stabilizer_Cherry_MX_8.00u,1,<SPC>,
SW14,SW_Cherry_MX_PCB_1.00u,1,F4,
SW15,SW_Cherry_MX_PCB_1.00u,1,F2,
SW16,SW_Cherry_MX_PCB_1.00u,1,F3,
SW18,SW_Cherry_MX_PCB_1.00u,1,N,
SW2,SW_Cherry_MX_PCB_1.00u,1,A,
SW20,SW_Cherry_MX_PCB_1.00u,1,B,
SW21,SW_Cherry_MX_PCB_1.00u,1,", <",
SW22,SW_Cherry_MX_PCB_1.00u,1,/ ?,
SW23,SW_Cherry_MX_PCB_1.00u,1,M,
SW24,SW_Cherry_MX_PCB_1.00u,1,. >,
SW25,SW_Cherry_MX_PCB_1.00u,1,H,
SW26,SW_Cherry_MX_PCB_1.00u,1,K,
SW27,SW_Cherry_MX_PCB_1.00u,1,G,
SW28,SW_Cherry_MX_PCB_1.00u,1,J,
SW29,SW_Cherry_MX_PCB_1.00u,1,; :,
SW3,SW_Cherry_MX_PCB_1.25u,1,CAPSLOCK,
SW30,SW_Cherry_MX_PCB_1.00u,1,<RET>,
SW31,SW_Cherry_MX_PCB_1.00u,1,L,
SW32,SW_Cherry_MX_PCB_1.00u,1,"' """,
SW33,SW_Cherry_MX_PCB_1.00u,1,LINE_INS,
SW34,SW_Cherry_MX_PCB_1.00u,1,1 !,
SW35,SW_Cherry_MX_PCB_1.00u,1,<ESC>,
SW36,SW_Cherry_MX_PCB_1.00u,1,LINE_DEL,
SW37,SW_Cherry_MX_PCB_1.00u,1,3 #,
SW38,SW_Cherry_MX_PCB_1.00u,1,5 %,
SW39,SW_Cherry_MX_PCB_1.00u,1,2 @,
SW4,SW_Cherry_MX_PCB_1.50u,1,<TAB>,
SW40,SW_Cherry_MX_PCB_1.00u,1,4 $,
SW41,SW_Cherry_MX_PCB_1.00u,1,Y,
SW42,SW_Cherry_MX_PCB_1.00u,1,I,
SW43,SW_Cherry_MX_PCB_1.00u,1,T,
SW44,SW_Cherry_MX_PCB_1.00u,1,U,
SW45,SW_Cherry_MX_PCB_1.00u,1,P,
SW46,SW_Cherry_MX_PCB_1.00u,1,] },
SW47,SW_Cherry_MX_PCB_1.00u,1,O,
SW48,SW_Cherry_MX_PCB_1.00u,1,[ {,
SW5,SW_Cherry_MX_PCB_1.00u,1,E,
SW50,SW_Cherry_MX_PCB_1.00u,1,Z,
SW51,SW_Cherry_MX_PCB_1.00u,1,S,
SW52,SW_Cherry_MX_PCB_1.00u,1,D,
SW53,SW_Cherry_MX_PCB_1.00u,1,C,
SW54,SW_Cherry_MX_PCB_1.00u,1,V,
SW55,SW_Cherry_MX_PCB_1.00u,1,X,
SW56,SW_Cherry_MX_PCB_1.00u,1,F,
SW57,SW_Cherry_MX_PCB_1.00u,1,7 &,
SW58,SW_Cherry_MX_PCB_1.00u,1,9 (,
SW59,SW_Cherry_MX_PCB_1.00u,1,6 ^,
"SW6, SW65",SW_Cherry_MX_PCB_2.00u,2,SHIFT,
SW60,SW_Cherry_MX_PCB_1.00u,1,8 *,
SW61,SW_Cherry_MX_PCB_1.00u,1,- _,
SW62,SW_Cherry_MX_PCB_1.00u,1,<BKSP>,
SW63,SW_Cherry_MX_PCB_1.00u,1,0 ),
SW64,SW_Cherry_MX_PCB_1.00u,1,= +,
"SW66, SW67",SW_Cherry_MX_PCB_1.00u,2,<SPC>,
SW7,SW_Cherry_MX_PCB_1.00u,1,W,
SW8,SW_Cherry_MX_PCB_1.00u,1,R,
