Designator,Mid X,Mid Y,Rotation,Layer
J1,69.611,-86.111,90.0,top
SW1,108.966,-124.581,0.0,top
SW10,88.646,-181.731,0.0,top
SW12,68.326,-143.631,0.0,top
SW14,318.516,-181.731,0.0,top
SW15,107.696,-181.731,0.0,top
SW16,299.466,-181.731,0.0,top
SW18,213.106,-162.681,0.0,top
SW2,114.046,-143.631,0.0,top
SW20,194.056,-162.681,0.0,top
SW21,251.206,-162.681,0.0,top
SW22,289.306,-162.681,0.0,top
SW23,232.156,-162.681,0.0,top
SW24,270.256,-162.681,0.0,top
SW25,209.296,-143.631,0.0,top
SW26,247.396,-143.631,0.0,top
SW27,190.246,-143.631,0.0,top
SW28,228.346,-143.631,0.0,top
SW29,285.496,-143.631,0.0,top
SW3,92.456,-143.631,0.0,top
SW30,323.596,-143.631,0.0,top
SW31,266.446,-143.631,0.0,top
SW32,304.546,-143.631,0.0,top
SW33,60.706,-105.531,0.0,top
SW34,98.806,-105.531,0.0,top
SW35,60.706,-124.581,0.0,top
SW36,79.756,-105.531,0.0,top
SW37,136.906,-105.531,0.0,top
SW38,175.006,-105.531,0.0,top
SW39,117.856,-105.531,0.0,top
SW4,84.836,-124.581,0.0,top
SW40,155.956,-105.531,0.0,top
SW41,204.216,-124.581,0.0,top
SW42,242.316,-124.581,0.0,top
SW43,185.166,-124.581,0.0,top
SW44,223.266,-124.581,0.0,top
SW45,280.416,-124.581,0.0,top
SW46,318.516,-124.581,0.0,top
SW47,261.366,-124.581,0.0,top
SW48,299.466,-124.581,0.0,top
SW5,147.066,-124.581,0.0,top
SW50,117.856,-162.681,0.0,top
SW51,133.096,-143.631,0.0,top
SW52,152.146,-143.631,0.0,top
SW53,155.956,-162.681,0.0,top
SW54,175.006,-162.681,0.0,top
SW55,136.906,-162.681,0.0,top
SW56,171.196,-143.631,0.0,top
SW57,213.106,-105.531,0.0,top
SW58,251.206,-105.531,0.0,top
SW59,194.056,-105.531,0.0,top
SW6,88.646,-162.681,0.0,top
SW60,232.156,-105.531,0.0,top
SW61,289.306,-105.531,0.0,top
SW62,327.406,-105.531,0.0,top
SW63,270.256,-105.531,0.0,top
SW64,308.356,-105.531,0.0,top
SW65,318.516,-162.681,0.0,top
SW66,164.846,-181.731,0.0,top
SW67,249.936,-181.731,0.0,top
SW7,128.016,-124.581,0.0,top
SW8,166.116,-124.581,0.0,top
