Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D14.0mm_P5.00mm,1,1000Uf,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C27, C5, C6, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.00mm,20,10nF,
"C121, C123, C124, C125, C126, C7",CP_Radial_D6.3mm_P2.50mm,6,1uF,
C127,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,100pf,
"C2, C3",CP_Radial_D8.0mm_P5.00mm,2,4.7uF,
C25,0603,1,56nF,
C26,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"C29, C30",C_Disc_D3.0mm_W1.6mm_P2.50mm,2,33p,
C4,CP_Radial_D8.0mm_P5.00mm,1,100uF,
"D1, D12, D13, D2, D3, D4, D5, D6, D7, D8",D_DO-35_SOD27_P7.62mm_Horizontal,10,1N4148,
D10,LED_D5.0mm,1,GREEN,
D11,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4448,
"D14, D9",LED_D5.0mm,2,RED,
D15,1206,1,SST0,
D16,1206,1,SST1,
D17,1206,1,SST2,
D18,1206,1,Not Used,
DZ101,D_DO-35_SOD27_P7.62mm_Horizontal,1,BZX79-B2V4,
IC1,DIP-20_W7.62mm_LongPads,1,74HCT244,
IC102,DIP-16_W7.62mm_LongPads,1,MAX232,
IC110,DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J,1,SST39SF010,
IC111,DIP-28_W15.24mm,1,HM62256ALSP,
IC15,DIP-24_W15.24mm,1,8253,
IC16,DIP-40_W15.24mm_LongPads,1,Z80 CPU,
IC18,DIP-16_W7.62mm_Socket_LongPads,1,74HC139,
IC22,DIP-28_W15.24mm_LongPads,1,8251,
IC25,DIP-16_W7.62mm_LongPads,1,74HC138,
IC27,DIP-14_W7.62mm_LongPads,1,74HC32,
IC29,DIP-14_W7.62mm_Socket_LongPads,1,74AHC04,
IC31,DIP-20_W7.62mm_Socket,1,74HC273,
IC32,DIP-16_W7.62mm_Socket_LongPads,1,74HC138,
IC35,DIP-40_W15.24mm,1,82C55A,
IC42,DIP-14_W7.62mm_LongPads,1,LM348N,
IC49,DIP-16_W7.62mm_Socket_LongPads,1,74HC367,
IC54,DIP-16_W7.62mm_LongPads,1,74HC123,
IC56,DIP-16_W7.62mm_Socket_LongPads,1,74HC161,
J1,DIN_5,1,POWER,
J101,PinHeader_1x09_P2.54mm_Vertical,1,CS Test Points,
J102,PinHeader_1x02_P2.54mm_Vertical,1,Tx,
J103,PinHeader_1x02_P2.54mm_Vertical,1,Rx,
J104,PinSocket_1x03_P2.54mm_Vertical,1,SPEAKER,
J105,PinHeader_1x06_P2.54mm_Vertical,1,TTL Serial,
J106,PinHeader_1x03_P2.54mm_Vertical,1,UpperROM,
J108,DIN_5,1,CASSETTE,
J109,PinHeader_1x02_P2.54mm_Vertical,1,RTS - DSR,
J110,IDC-Header_2x17_P2.54mm_Latch_Horizontal,1,PARALLEL OUTPUT PORT,
J111,PinHeader_2x08_P2.54mm_Vertical,1,Keyboard,
J112,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset4.94mm,1,Serial,
J2,PinHeader_1x02_P2.54mm_Vertical,1,PC,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Power In,
J4,PinHeader_2x22_P2.54mm_Vertical,1,Expansion,
J7,PinHeader_1x09_P2.54mm_Vertical,1,Decoder,
"LED101, LED103",1206,2,Red,
"LED102, LED104",1206,2,Green,
"Q1, Q2",TO-92_HandSolder,2,BC548,
Q101,TO-92_Inline,1,BC548,
"R1, R10",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,560,
R107,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,6K8,
"R108, R109, R116, R117, R142, R143, R144, R145",1206,8,90,
"R110, R112, R113, R17, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,5,10K,
"R111, R18, R23, R25",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,2K2,
"R114, R19, R21",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,18K,
"R115, R20",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,18,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,220,
"R22, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K,
R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,68K,
R38,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10,
R39,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,820,
"R5, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,4.7k,
R7,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,100k,
R8,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
R9,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,360,
"RN1, RN101",R_Array_SIP5,2,10K,
RN2,R_Array_SIP9,1,10k,
SW1,MFS201N-16-Z_NDC,1,Power,
SW101,Tact_switch_angled,1,Reset,
