Designator,Mid X,Mid Y,Rotation,Layer
C1,130.5043,-155.448,0.0,top
C10,122.5,-21.735,180.0,top
C11,137.0,-21.735,180.0,top
C12,151.0,-21.735,180.0,top
C121,192.0916,-24.384,0.0,top
C123,186.25,-69.0,0.0,top
C124,185.75,-47.5,0.0,top
C125,185.75,-59.0,0.0,top
C126,177.75,-47.5,0.0,top
C127,42.0,-132.56,270.0,top
C13,178.0,-67.0,90.0,top
C14,198.5,-40.894,180.0,top
C15,40.5,-78.5,90.0,top
C16,103.0,-59.5,90.0,top
C17,127.75,-73.0,270.0,top
C18,152.0,-89.0,90.0,top
C19,141.0,-92.0,0.0,top
C2,153.5973,-147.5,0.0,top
C20,51.5,-119.5,180.0,top
C21,69.0,-119.5,180.0,top
C22,92.0,-116.0,180.0,top
C23,106.0,-120.5,180.0,top
C24,120.0,-123.0,0.0,top
C25,179.5,-99.75,0.0,top
C26,201.25,-117.5,0.0,top
C27,73.01,-150.316,180.0,top
C29,44.0,-21.5,0.0,top
C3,118.4613,-161.29,0.0,top
C30,52.0,-21.5,0.0,top
C4,32.0973,-32.0,0.0,top
C5,66.0,-21.235,180.0,top
C6,89.0,-18.735,180.0,top
C7,201.25,-107.5,0.0,top
C8,101.0,-18.735,180.0,top
C9,165.0,-19.735,180.0,top
D1,59.81,-175.536,180.0,top
D10,85.745,-156.5,0.0,top
D11,28.6874,-43.9688,0.0,top
D12,183.0,-91.5,0.0,top
D13,183.0,-97.0,180.0,top
D14,85.745,-176.5,0.0,top
D15,183.896,-28.454,0.0,top
D16,183.896,-31.844,0.0,top
D17,183.896,-35.234,0.0,top
D18,183.896,-38.624,0.0,top
D2,59.81,-171.286,180.0,top
D3,59.81,-167.036,180.0,top
D4,59.81,-162.786,180.0,top
D5,46.81,-175.75,180.0,top
D6,46.81,-171.5,180.0,top
D7,46.8,-167.41,180.0,top
D8,46.8,-163.16,180.0,top
D9,85.745,-166.5,0.0,top
DZ101,183.0,-103.0,0.0,top
IC1,73.01,-166.316,0.0,top
IC102,198.5,-54.054,0.0,top
IC110,88.2275,-80.01,0.0,top
IC111,115.0,-87.0,0.0,top
IC15,140.0,-70.0,0.0,top
IC16,55.005,-79.505,0.0,top
IC18,165.0,-32.735,0.0,top
IC22,165.005,-72.51,0.0,top
IC25,101.0,-32.795,0.0,top
IC27,122.19,-34.055,0.0,top
IC29,136.4133,-34.005,0.0,top
IC31,92.0,-131.31,0.0,top
IC32,69.0,-133.0,0.0,top
IC35,140.0,-120.005,0.0,top
IC42,120.0,-135.38,0.0,top
IC49,106.0,-134.0,0.0,top
IC54,51.32,-133.0,0.0,top
IC56,89.0,-32.735,0.0,top
J1,151.0,-165.0,270.0,top
J101,79.0,-132.0,0.0,top
J102,178.0,-80.005,180.0,top
J103,182.5,-79.995,0.0,top
J104,197.0,-145.0,270.0,top
J105,202.0,-30.0,0.0,top
J106,72.5,-64.54,0.0,top
J108,210.5,-131.5,270.0,top
J109,187.0,-79.995,0.0,top
J110,213.73,-89.68,0.0,top
J111,25.28,-165.276,0.0,top
J112,215.02,-40.845,90.0,top
J2,129.0,-91.48,0.0,top
J3,133.096,-173.482,270.0,top
J4,27.73,-95.59,180.0,top
J7,110.5,-31.075,0.0,top
LED101,193.5,-69.5,0.0,top
LED102,193.5,-81.5,0.0,top
LED103,193.5,-77.5,0.0,top
LED104,193.5,-73.5,0.0,top
Q1,186.73,-143.635,180.0,top
Q101,65.73,-49.0,0.0,top
Q2,178.27,-143.635,180.0,top
R1,102.5,-163.5,0.0,top
R10,102.75,-169.75,180.0,top
R107,60.0,-137.08,90.0,top
R108,199.5,-77.5,0.0,top
R109,199.5,-81.5,0.0,top
R110,162.5,-100.0,180.0,top
R111,162.5,-130.0,0.0,top
R112,162.5,-140.0,0.0,top
R113,162.5,-135.0,180.0,top
R114,184.5,-136.9581,180.0,top
R115,184.58,-132.4791,0.0,top
R116,199.5,-69.5,0.0,top
R117,199.5,-73.5,0.0,top
R142,176.95,-29.0,0.0,top
R143,176.95,-32.0,0.0,top
R144,176.95,-35.0,0.0,top
R145,176.95,-38.0,0.0,top
R17,162.5,-95.0,0.0,top
R18,162.5,-125.0,0.0,top
R19,184.5,-128.0,180.0,top
R2,102.58,-157.5,0.0,top
R20,184.58,-123.5209,0.0,top
R21,162.5,-120.0,180.0,top
R22,162.5,-105.0,0.0,top
R23,162.5,-115.0,0.0,top
R24,162.5,-110.0,180.0,top
R25,184.5,-109.9581,180.0,top
R3,30.0,-49.0,0.0,top
R38,184.58,-114.5628,0.0,top
R39,184.58,-119.0419,0.0,top
R4,30.0,-59.0,0.0,top
R5,48.0,-49.0,0.0,top
R6,30.0,-54.0,0.0,top
R7,48.0,-44.0,0.0,top
R8,48.0,-39.0,0.0,top
R9,48.0,-34.0,180.0,top
RN1,202.0,-92.96,270.0,top
RN101,71.0,-87.0,270.0,top
RN2,35.01,-165.006,270.0,top
SW1,103.499999,-180.25,90.0,top
SW101,20.045,-35.02,90.0,top
TP101,57.0,-29.0,0.0,top
U101,66.0,-33.115,0.0,top
U104,150.7067,-34.005,0.0,top
U2,118.364,-173.416,0.0,top
XTAL2,48.0,-27.0,0.0,top
